City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
413,Saldanha,ZA,2022-02-06 15:06:06,-33.0117,17.9442,Clouds,scattered clouds,69.73,79,37,10.74,0.0,0.0
414,Sunrise Manor,US,2022-02-06 15:06:06,36.2111,-115.0731,Clear,clear sky,53.11,25,0,1.99,0.0,0.0
415,Tsumeb,NA,2022-02-06 15:06:07,-19.2333,17.7167,Rain,moderate rain,75.09,67,95,7.0,0.0,0.0
416,Berlevag,NO,2022-02-06 15:06:07,70.8578,29.0864,Clouds,broken clouds,24.8,85,75,23.96,0.0,0.0
417,Provideniya,RU,2022-02-06 15:06:07,64.3833,-173.3,Clear,clear sky,-2.94,77,0,9.78,0.0,0.0
418,Hyeres,FR,2022-02-06 15:06:08,43.1167,6.1167,Clear,clear sky,61.45,32,0,13.8,0.0,0.0
419,Pirna,DE,2022-02-06 15:06:08,50.9584,13.937,Rain,light rain,47.1,65,100,22.21,0.0,0.0
420,Moose Factory,CA,2022-02-06 15:06:08,51.2585,-80.6094,Clouds,overcast clouds,-0.42,78,100,8.05,0.0,0.0
421,Suez,EG,2022-02-06 15:06:09,29.9737,32.5263,Clear,clear sky,62.19,48,0,5.37,0.0,0.0
422,Acapulco,MX,2022-02-06 15:06:09,16.8634,-99.8901,Clear,clear sky,78.62,61,0,6.91,0.0,0.0
423,Ziarat,PK,2022-02-06 15:06:09,30.3823,67.7282,Clouds,broken clouds,37.9,62,55,5.93,0.0,0.0
424,Darhan,MN,2022-02-06 15:06:10,49.4867,105.9228,Snow,light snow,-1.64,90,24,6.62,0.0,0.0
425,Mora,CM,2022-02-06 15:06:10,11.0461,14.1401,Clear,clear sky,87.08,10,0,7.14,0.0,0.0
426,Maubeuge,FR,2022-02-06 15:06:11,50.2788,3.9727,Clouds,overcast clouds,49.53,78,100,8.01,0.0,0.0
427,Cascais,PT,2022-02-06 15:06:11,38.6979,-9.4215,Clear,clear sky,69.62,40,0,1.99,0.0,0.0
428,Labuhan,ID,2022-02-06 15:06:11,-6.8844,112.2051,Clouds,overcast clouds,78.75,90,100,10.16,0.0,0.0
