City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
268,Chuy,UY,67.98,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
274,Lorengau,PG,81.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
276,Taoudenni,ML,81.97,overcast clouds,22.6783,-3.9836,
277,Pisco,PE,69.85,mist,-13.7,-76.2167,Hotel San Isidro Oficial
279,Champerico,GT,89.35,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
281,Bartica,GY,80.47,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
282,Bilma,NE,77.83,clear sky,18.6853,12.9164,Expeditions Ténére voyages
284,Kutum,SD,70.38,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
286,Kampong Chhnang,KH,81.77,overcast clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
287,Olinda,BR,87.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
289,Ahipara,NZ,72.19,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
290,Tiznit,MA,75.97,clear sky,29.5833,-9.5,
291,Cordoba,AR,76.75,few clouds,-31.4135,-64.1811,Hotel Sussex
294,Broken Hill,AU,75.22,few clouds,-31.95,141.4333,Royal Exchange Hotel
295,Boa Vista,BR,77.47,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
301,Singaraja,ID,79.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
305,Mkuranga,TZ,82.26,overcast clouds,-7.118,39.2078,Luminoso Lodge
307,Alice Town,BS,74.12,few clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
309,Bodden Town,KY,82.99,clear sky,19.2833,-81.25,Will T Place
312,West Bay,KY,83.07,clear sky,19.3667,-81.4167,Calypso Cove
315,Lebu,CL,66.52,clear sky,-37.6167,-73.65,Hostal Las Lilas
318,Saint-Pierre,RE,82.08,few clouds,-21.3393,55.4781,Lindsey Hôtel
320,Amapa,BR,78.13,heavy intensity rain,1.0,-52.0,
321,Santa Cruz,BO,69.82,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
322,Port Keats,AU,78.66,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
325,Kathu,TH,80.42,broken clouds,7.9178,98.3332,Novotel Phuket Resort
327,Muisne,EC,75.31,light rain,0.6,-80.0333,Quinta Samay
328,Ugoofaaru,MV,81.64,overcast clouds,5.6667,73.0,Ungoofaaru Inn
329,Omboue,GA,84.4,scattered clouds,-1.5746,9.2618,Hotel Olako
330,Arlit,NE,83.59,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
331,Galapa,CO,85.26,clear sky,10.8969,-74.886,HOTEL PLAZA REAL
333,Vetapalem,IN,75.9,clear sky,15.7833,80.3167,Lelavathi hotel
334,Kavieng,PG,81.79,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
335,Tanout,NE,80.49,clear sky,14.9709,8.8879,
336,Mazagao,BR,80.65,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
339,Bhuban,IN,65.68,scattered clouds,20.8833,85.8333,Prasanta Sahoo
341,Paciran,ID,78.87,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
350,Jaque,PA,81.3,clear sky,7.5175,-78.1703,Aventuras Jaque S.A
354,Dhidhdhoo,MV,80.91,overcast clouds,6.8833,73.1,Dhidhoo beach
357,Mogadishu,SO,78.84,scattered clouds,2.0371,45.3438,Hotel Juba
363,Bandarbeyla,SO,76.35,broken clouds,9.4942,50.8122,JABIR HOTEL
364,Isangel,VU,79.2,light rain,-19.55,169.2667,Tanna Lodge
365,Sao Joao Dos Patos,BR,83.05,overcast clouds,-6.495,-43.7022,Montesino Hotel & Restaurante
367,San Policarpo,PH,80.1,few clouds,12.1791,125.5072,Agapita M. Nicart
370,Saint-Georges,GD,80.76,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
371,Lethem,GY,79.18,overcast clouds,3.3803,-59.7968,Savannah Inn
373,Lago Da Pedra,BR,84.83,broken clouds,-4.3333,-45.1667,
374,Bosaso,SO,76.89,broken clouds,11.2842,49.1816,Red Sea Hotel
375,Lazaro Cardenas,MX,76.1,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
376,Harper,LR,83.59,light rain,4.375,-7.7169,Screensaver
381,Aripuana,BR,87.85,broken clouds,-9.1667,-60.6333,
382,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
385,Kondoa,TZ,72.19,overcast clouds,-4.9,35.7833,Bab Al Shams Inland Lodge
387,Paracatu,BR,69.44,moderate rain,-17.2222,-46.8747,Hotel Paracatu Plaza
389,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
395,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
398,Alofi,NU,79.68,light rain,-19.0595,-169.9187,Taloa Heights
400,Puerto Baquerizo Moreno,EC,74.91,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
401,Maragogi,BR,84.74,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
402,Nalut,LY,71.13,overcast clouds,30.3333,10.85,
406,Ondjiva,AO,77.81,light rain,-17.0667,15.7333,COMBUESA
412,Sisophon,KH,83.3,few clouds,13.5859,102.9737,Pyramid Hotel
413,Saldanha,ZA,69.73,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
422,Acapulco,MX,78.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
425,Mora,CM,87.08,clear sky,11.0461,14.1401,Hotel Emergence
427,Cascais,PT,69.62,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
428,Labuhan,ID,78.75,overcast clouds,-6.8844,112.2051,DoubleFAG
432,Vila Velha,BR,87.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
434,Mayahi,NE,85.77,clear sky,13.9553,7.6712,
435,Isla Mujeres,MX,73.45,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
436,Kodinar,IN,68.09,clear sky,20.7903,70.7031,residency of N.B vadhel
437,Gizo,SB,83.12,overcast clouds,-8.103,156.8419,Imagination Island
442,Ibotirama,BR,79.84,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
446,Kupang,ID,80.1,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
447,Puerto Asis,CO,77.56,overcast clouds,0.5133,-76.5007,Ayawaska Hostal
449,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
452,Mangrol,IN,68.95,clear sky,21.1167,70.1167,Hotel The Royal Honours
454,Buarcos,PT,69.24,scattered clouds,40.166,-8.8768,Hotel Sweet Atlantic SPA
455,Ancud,CL,73.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
460,Kafue,ZM,65.12,overcast clouds,-15.7691,28.1814,Purview Lodges Ltd
461,Umm Lajj,SA,71.98,clear sky,25.0213,37.2685,Moon light Furnished Units
467,Tulum,MX,75.25,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
468,Anakapalle,IN,75.15,broken clouds,17.6833,83.0167,Satya Lodge
469,Kuala Lipis,MY,72.97,overcast clouds,4.1842,102.0468,Lipis Centrepoint Hotel
470,Huarmey,PE,73.45,broken clouds,-10.0681,-78.1522,Hotel Miramar
471,Innisfail,AU,73.0,broken clouds,-17.5333,146.0333,Moondarra Motel
472,Geraldton,AU,70.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
481,Acari,PE,78.73,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
482,Presidencia Roque Saenz Pena,AR,80.98,clear sky,-26.7852,-60.4388,Hotel Gualok
485,Whitianga,NZ,65.01,light rain,-36.8333,175.7,Beachside Resort Whitianga
486,Sao Felix Do Xingu,BR,87.35,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
487,Caxias,PT,69.6,clear sky,38.7031,-9.2767,Amazónia Jamor Hotel
489,Wagar,SD,81.99,clear sky,16.1525,36.2032,
492,Tucurui,BR,82.87,light rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
493,Jalu,LY,69.89,clear sky,29.0331,21.5482,صاحبة الفخامة
494,Tlalchapa,MX,76.05,clear sky,18.4,-100.4667,Hotel Tlalchapa
495,Karaton,ID,77.16,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
497,Qui Nhon,VN,72.16,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
498,Hualmay,PE,72.59,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
499,Samarai,PG,81.5,overcast clouds,-10.6167,150.6667,Nuli Sapi
502,Vanimo,PG,78.75,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
503,Arona,ES,72.91,clear sky,28.0996,-16.681,Paradise Court
507,Phan Thiet,VN,77.02,overcast clouds,10.9333,108.1,Hotel Saigon-PT
508,San Borja,BO,71.51,moderate rain,-14.8167,-66.85,
511,Namatanai,PG,80.11,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
514,Celestun,MX,73.76,broken clouds,20.8667,-90.4,Posada Lilia
518,Barra,BR,86.45,broken clouds,-11.0894,-43.1417,Motel Albatroz
519,Camapua,BR,82.47,overcast clouds,-19.5314,-54.0439,Comercial Estrela
520,Bunia,CD,85.1,overcast clouds,1.5667,30.25,Gold Star International Hotel
521,Karratha,AU,84.52,few clouds,-20.7377,116.8463,ibis Styles Karratha
522,Beloha,MG,75.27,light rain,-25.1667,45.05,
526,Bhimavaram,IN,70.66,few clouds,16.5333,81.5333,Madipalli Inn
